Species,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Family,Discrete,m1_opcr,m2_opcr,m1_dne,m2_dne,RFI_m1,RFI_m2,RLGA,log_cuberoot_mass,large_mammal,small_mammal,bird,herptile,fish,egg,carrion,hard_invert,soft_invert,seed,fruit,root,plant,hopkins_pineda,hopkins_van_valk,pineda,pantheria,mass_kg,phylo,m1_tooth_length,class3,class4,class5,class6
Catopuma_temminckii,3.179785542242415,-0.3406332566670699,-0.23351611721477708,-0.06896758006623964,0.07012421778628321,1.123137100718074,0.9107382181455314,-0.4110264978591258,-0.11140875370586456,0.21752036979251588,-1.3180290007824595,0.4445403271110802,-0.6247837290924521,Felidae,Carnivore,0.3051170235237474,-1.0645404225814596,-0.8608200998085386,-1.6390912243675282,0.5538398105746379,-1.7209097243318139,-1.531264564216185,0.05852791628103367,4,4,2,3,1,1,1,1,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,7.726459994669323,Catopuma_temminckii,NA,3,4,4,4
Crocuta_crocuta,1.2394528688810709,-0.2898181705338232,-0.9827188077060918,1.5733690910819513,0.2492176935770883,-1.1752626770434076,0.6491240290084358,-1.1794676947129656,-0.1430609162511081,-0.20320653717064097,-0.4531469522917812,0.7064394022171068,-0.5495003330025892,Hyaenidae,Carnivore,-0.7230218414079452,-1.0645404225814596,-1.2512098761290265,-1.6390912243675282,-0.06813607028076843,-1.7209097243318139,-1.2545177652164552,1.4558745522057759,4,2,2,2,2,2,3,2,2,1,2,1,1,Hypercarnivore,Hypercarnivore,Carnivore,Carnivore,63.369979953827226,Crocuta_crocuta,NA,3,4,4,4
Cuon_alpinus,1.9600781823762496,-0.7653836921364782,-1.3192277251558415,-0.21806686903405553,0.08030670413621478,-0.1509558985186066,0.6698705089667668,-0.5221523006748515,0.15718264774300778,-0.08640754746089667,-0.48662500339095993,0.9197983633209572,-0.028544220549683662,Canidae,Omnivore,-0.49169059679831434,-0.2844576147629272,-0.6769772029147324,0.03845601679473264,0.5186045500082148,0.45345044133966017,-0.4997944061808272,0.5335485631934919,4,3,2,2,1,1,2,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,15.79999998367985,Cuon_alpinus,NA,3,4,4,4
Lycaon_pictus,2.5595374642905235,-0.18375979889370872,-0.6034312036129218,1.5889730054775133,0.6072694719687346,0.7708224642245901,1.7285574211533363,-1.2202468273361227,0.9666585490843255,-0.31013919821308766,-0.8784704129437454,-0.013643856762817833,-0.2712809163764394,Canidae,Carnivore,-0.9413299937284412,-0.4030253538073286,-0.7266605953383901,-0.08702186732955397,0.05657316092913864,0.3717055112261368,-0.3683601311824407,0.7533641144837074,4,3,1,3,1,3,2,1,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,21.999990004119315,Lycaon_pictus,NA,3,4,4,4
Neofelis_nebulosa,3.074959699092691,-0.9159779479236471,-0.9500562680316174,0.8726564124018817,-0.1785139224466924,1.0215217000684025,-0.6475428311936615,-0.15361325962692482,-0.6005326041316688,0.03482318821779285,-1.1327628107663963,0.6215079539168898,-0.03064992572322912,Felidae,Carnivore,-0.7960197008180955,-1.0645404225814596,-1.4802492003735541,-1.6390912243675282,0.12657586934601547,-1.7209097243318139,-1.531264564216185,0.49660865255301384,4,4,2,1,2,1,1,1,1,1,1,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,14.945049995055584,Neofelis_nebulosa,NA,3,4,4,4
Panthera_leo,1.5672658666000483,-0.7885174501026004,-1.2551908745657236,0.9655210840157622,-0.577801590553497,-0.3522361506419058,0.8670095704545396,-0.9788554918135345,0.1327610527774928,-0.6211520869803792,0.1299310800086701,0.725399516430707,-0.14953933901179267,Felidae,Carnivore,-1.0441438802216105,-1.0645404225814596,-1.643357804973373,-1.6390912243675282,-0.6704546696988536,-1.7209097243318139,-1.531264564216185,2.06515350100645,4,2,2,2,2,2,2,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,Carnivore,Carnivore,158.6239302311266,Panthera_leo,NA,3,4,4,4
Panthera_onca,2.1038268089622227,0.39586440199872275,-0.047249139189076785,-0.18557639061443348,-1.299700063168678,0.6765669258828175,1.5067772071744028,-0.527719989401861,0.5388154839646809,-0.8792512495552421,-1.2765216294294324,0.3790307277854078,-0.20626997975623923,Felidae,Carnivore,-1.4341512229856992,-1.0645404225814596,-1.2090941315802246,-1.6390912243675282,0.304675098837412,-1.7209097243318139,-1.531264564216185,1.6425660868641558,4,4,2,4,2,2,1,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,83.94308998014942,Panthera_onca,NA,3,4,4,4
Panthera_pardus,1.7828602216955658,-1.5653090884946461,-0.8497383963862888,0.2501590577934919,-0.9035128759993043,3.086025550147814e-4,0.5760913238687352,-0.7461415331578655,-0.23148566541468887,-0.5785487835954378,-4.387529152089554e-4,0.925016114296876,-0.48640820679927865,Felidae,Carnivore,-0.9927369369750259,-1.0645404225814596,-1.545860255923016,-1.6390912243675282,0.599090604848743,-1.7209097243318139,-1.531264564216185,1.3296529850262873,4,2,2,2,2,1,1,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,52.399990026866305,Panthera_pardus,NA,3,4,4,4
Puma_concolor,2.993752134714191,-0.7624426505283642,-1.1458483674028104,0.009083118239263062,-0.08345718159534346,1.1617295232846727,0.5456137000979482,0.28098136111236705,0.07640877848721776,0.1011084526624284,-0.993374773789019,0.6408911076214094,-0.2798521525915658,Felidae,Carnivore,-1.0400313247618838,-1.0645404225814596,-1.5786258256858405,-1.6390912243675282,1.224213452901887,-1.7209097243318139,-1.531264564216185,1.3490601922199343,4,4,2,2,1,1,1,1,1,1,1,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,53.95404997866802,Puma_concolor,NA,3,4,4,4
Speothos_venaticus,2.9067111311082847,0.2604329380622154,-0.5637220282380055,-0.7102708449706284,-0.022120955983961455,0.8434884189358209,0.6626683366809345,-0.5187989168382321,-0.7215398864753382,-0.35069392845576974,-1.0071613751135315,0.30999417880451413,-0.8970134519544927,Canidae,Carnivore,-0.8258357279011145,-0.7110590881220004,-0.37957227761199913,-0.24684271307201763,0.5964339092001194,0.49717308288917655,-0.5554759225505707,-0.0744200525621696,4,4,3,3,1,1,1,1,1,1,2,1,1,Hypercarnivore,Hypercarnivore,NA,Carnivore,6.324540001922026,Speothos_venaticus,NA,3,4,4,4
Uncia_uncia,2.749813878716095,-0.6168504531288187,-2.0264778047114937,0.4991938177052556,0.2926098348741819,0.3358540899554124,0.2351648546047285,0.1746128454677386,-0.6534153988038937,0.4213514425693825,0.11656930578219048,0.9577304854449117,-0.3493431834569446,Felidae,Carnivore,-0.6630470742869298,-1.0645404225814596,-1.3910629177996208,-1.6390912243675282,0.8241595143851564,-1.7209097243318139,-1.531264564216185,1.012467744101151,4,3,3,1,1,1,2,1,1,1,1,1,2,Hypercarnivore,Hypercarnivore,NA,Carnivore,32.49999998909001,Uncia_uncia,NA,3,4,4,4
Vulpes_macrotis,0.9335487274260186,-0.15457690705075966,-0.3479658058325717,-0.71426682613332515,0.3126276651270831,0.5723838054963853,-0.27353251028489034,0.4229410756194704,0.49688432292959867,0.9286124305292444,0.06067733965280585,-0.8547445269834814,0.6264206831082793,Canidae,Carnivore,-0.6373436026636374,0.1550711759706635,0.13318907000230612,0.7714391466940229,0.8527709619381788,0.6246976537218968,-0.23513580280604132,-0.30043403114434736,1,4,2,2,1,1,2,2,1,1,2,1,2,Hypercarnivore,Hypercarnivore,NA,NA,4.499969864607672,Vulpes_macrotis,NA,1,1,1,1
Hyaena_hyaena,0.27883677986438177,0.6746420262940709,-0.38593023190508136,-0.7047843874507022,0.6594305203483846,-1.803850573890753,0.7525194618354775,-1.5615158101421827,-0.2427442614307617,0.9330963761167054,0.830060274439541,-0.02471225976488546,0.08178413313648464,Hyaenidae,Carnivore,-0.16611328956994503,-1.0645404225814596,-0.1491679077647424,-1.6390912243675282,-0.052229209187129436,-1.7209097243318139,-0.9138219069023156,1.0630141281240966,2,2,3,3,1,1,4,3,1,1,3,1,1,Hypercarnivore,Hypercarnivore,NA,Omnivore,35.070510021384884,Hyaena_hyaena,NA,1,2,2,2
Ursus_maritimus,1.0534194613528474,-0.7116275643951175,-1.8950510578941253,1.651419789387454,0.09563629419546159,-1.1366702544768088,0.28399951096085285,-0.48745983574147284,0.04475661594197416,-0.31961845430072816,-0.12849272529834058,0.9027901827274357,-0.20456875650170275,Ursidae,Carnivore,-0.19627202960794143,0.9981746559899682,-0.433828784582261,0.5659987241663945,-1.1406211259911219,0.3235679345990148,1.0286213305544851,2.6306165034283375,4,2,2,1,2,2,3,2,2,1,2,1,2,Hypercarnivore,Hypercarnivore,Carnivore,Omnivore,371.7038098318228,Ursus_maritimus,NA,3,4,4,4
